"Address","Occurrences","Indexability","Indexability Status","Canonical Link Element 1","Canonical Link Element 2","HTTP Canonical","Meta Robots 1","X-Robots-Tag 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1"
"https://www.precise3dm.com/metrology-grade-3d-scanners.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/metrology-grade-3d-scanners.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/structured-light-3d-scanner-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/structured-light-3d-scanner-in-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/3d-scanning-and-reverse-engineering-software.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/3d-scanning-and-reverse-engineering-software.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/leica-rtc360.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/leica-rtc360.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/reverse-engineering-geomagic-design-x.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/reverse-engineering-geomagic-design-x.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/used-3d-scanners-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/used-3d-scanners-in-india.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/freescan-track-pro2.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/freescan-track-pro2.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/OptimScan5M-Plus.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/OptimScan5M-Plus.php","https://www.precise3dm.com/","","index, follow","","","","",""
"https://www.precise3dm.com/affordable-and-lowcost-3d-scanner-in-india.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/affordable-and-lowcost-3d-scanner-in-india.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
"https://www.precise3dm.com/freescan-track-nova.php","2","Non-Indexable","Canonicalised","https://www.precise3dm.com/freescan-track-nova.php","https://www.precise3dm.com/","","index, follow, max-image-preview:large, max-video-preview:-1, max-snippet:-1","","","","",""
